timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603411685213,277,Access Login,200,OK,Logged User Choose product 1-1,text,true,,19862,665,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login&route=account/login&product=no_match,207,0,0
1603411690918,551,Enter credentials,200,OK,Logged User Choose product 1-1,text,true,,22248,1850,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,222,0,82
1603411690918,222,Enter credentials-0,302,Found,Logged User Choose product 1-1,text,true,,380,1161,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login,222,0,82
1603411691141,328,Enter credentials-1,200,OK,Logged User Choose product 1-1,text,true,,21868,689,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,249,0,0
1603411692034,317,Succesful login,200,OK,Logged User Choose product 1-1,text,true,,21889,699,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account&route=account%2Faccount&product=no_match,239,0,0
1603411693113,341,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,25302,648,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,260,0,0
1603411693621,263,Enter credentials,200,OK,Checkout 2-1,text,true,,290,834,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/payment_address/save,263,0,89
1603411695237,265,Shipping Address,200,OK,Checkout 2-1,text,true,,30988,557,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fshipping_address&product=no_match,175,0,0
1603411695864,444,Access product category,200,OK,Logged User Choose product 1-1,text,true,,44058,676,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fcategory&path=57&amp;product_id=49&product=no_match,287,0,0
1603411698467,172,Shipping Method,200,OK,Checkout 2-1,text,true,,899,556,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fshipping_method&product=no_match,172,0,0
1603411700371,175,Shipping method save,200,OK,Checkout 2-1,text,true,,289,733,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/shipping_method/save,175,0,0
1603411701094,73,Access product,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 172.23.176.132:80 failed to respond,Logged User Choose product 1-1,text,false,Assertions failed,2094,0,1,2,http://172.23.176.132/opencart/upload/index.php?route=product%2Fproduct&path=57&amp;product_id=49&product_id=87&product=no_match,0,0,0
1603411701731,208,Payment Method,200,OK,Checkout 2-1,text,true,,1115,555,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fpayment_method&product=no_match,208,0,0
1603411702795,176,Payment method save ,200,OK,Checkout 2-1,text,true,,289,733,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/payment_method/save,176,0,0
1603411703239,285,Adding to Shopping Cart,200,OK,Logged User Choose product 1-1,text,true,,603,733,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/cart/add,285,0,90
1603411703835,230,Checkout confirm,200,OK,Checkout 2-1,text,true,,2904,548,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fconfirm&product=no_match,230,0,0
1603411704282,198,Acces Shopping Cart,200,OK,Logged User Choose product 1-1,text,true,,3039,572,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fcart%2Finfo&product=no_match,198,0,0
1603411705295,391,Confirm,200,OK,Checkout 2-1,text,true,,379,589,1,2,http://172.23.176.132/opencart/upload/index.php?route=extension%2Fpayment%2Fcod%2Fconfirm&product=no_match,391,0,0
1603411705709,366,Access HomePage,200,OK,Logged User Choose product 1-1,text,true,,26098,647,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fhome&product=no_match,276,0,0
1603411706536,346,Checkout Success,200,OK,Checkout 2-1,text,true,,18015,657,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout%2Fsuccess&product=no_match,258,0,0
1603411707981,189,Remove product from cart,200,OK,Logged User Choose product 1-1,text,true,,377,694,1,2,http://172.23.176.132/opencart/upload/index.php?route=checkout/cart/remove,189,0,0
1603411708457,391,Access HomePage,200,OK,Checkout 2-1,text,true,,23773,664,1,2,http://172.23.176.132/opencart/upload/index.php?route=common/home&route=common/home&product=no_match,312,0,80
1603411709662,191,Access Shopping Cart,200,OK,Logged User Choose product 1-1,text,false,Your shopping cart is empty!,2243,572,1,2,http://172.23.176.132/opencart/upload/index.php?route=common%2Fcart%2Finfo&product=no_match,191,0,0
1603411710170,430,Access Login,200,OK,Checkout 2-1,text,false,E-mail address,20717,1295,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/account,135,0,0
1603411710170,135,Access Login-0,302,Found,Checkout 2-1,text,true,,379,665,1,2,http://172.23.176.132/opencart/upload/index.php?route=account/login&route=account/login&product=no_match,135,0,0
